         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      426    0.076    0.000    0.076    0.000 {built-in method io.open_code}
     1921    0.038    0.000    0.038    0.000 {built-in method nt.stat}
      426    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
       66    0.031    0.000    0.035    0.001 {built-in method _imp.create_dynamic}
    66/35    0.023    0.000    0.078    0.002 {built-in method _imp.exec_dynamic}
      426    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
     2910    0.015    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
     3545    0.014    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1551    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
  869/856    0.009    0.000    0.053    0.000 {built-in method builtins.__build_class__}
      746    0.005    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     1551    0.004    0.000    0.032    0.000 textwrap.py:422(dedent)
    528/6    0.004    0.000    0.470    0.078 <frozen importlib._bootstrap>:1022(_find_and_load)
    35802    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       59    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
      426    0.003    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:950(get_code)
 3990/105    0.003    0.000    0.007    0.000 copy.py:128(deepcopy)
      426    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
    35162    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
   225/59    0.003    0.000    0.008    0.000 sre_parse.py:493(_parse)
     9846    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1257    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
      522    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      852    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2300    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFB90A09920}
      279    0.002    0.000    0.028    0.000 compute.py:126(_decorate_compute_function)
    15255    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1257    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
25059/24599    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       31    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
    444/1    0.002    0.000    0.470    0.470 {built-in method builtins.exec}
     3545    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
    514/6    0.002    0.000    0.469    0.078 <frozen importlib._bootstrap>:664(_load_unlocked)
      514    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
   428/56    0.002    0.000    0.004    0.000 sre_compile.py:71(_compile)
    19303    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      529    0.002    0.000    0.002    0.000 inspect.py:2913(__init__)
